skill_match_percentage,ats_score,cgpa,total_skills,total_projects,total_experience_entries,suitability_label
38,42,5.54,4,0,0,Medium Potential
57,49,5.3,2,0,1,Medium Potential
70,66,7.58,13,5,4,High Potential
45,32,7.92,9,2,0,Rejected
57,69,7.66,23,3,3,High Potential
28,28,6.58,2,2,0,Rejected
78,86,7.87,24,2,3,Selected
44,57,9.78,15,0,1,Medium Potential
16,24,6.6,2,2,1,Rejected
18,13,6.3,9,2,1,Rejected
37,22,6.26,15,2,0,Rejected
41,33,6.71,7,0,0,Rejected
79,81,7.58,13,2,1,Selected
50,38,5.05,3,2,1,Rejected
34,36,5.29,10,1,0,Rejected
33,34,5.53,6,0,1,Rejected
23,12,5.62,13,0,0,Rejected
75,72,8.83,19,2,3,High Potential
56,51,9.84,8,2,1,Medium Potential
56,50,8.86,9,2,1,Medium Potential
37,37,7.97,3,1,1,Rejected
37,27,6.8,4,1,0,Rejected
74,66,8.73,16,3,3,High Potential
92,83,6.43,19,3,3,Selected
36,46,7.27,11,2,1,Medium Potential
48,48,5.39,4,2,1,Medium Potential
8,14,5.51,9,0,0,Rejected
66,63,8.23,25,5,1,High Potential
62,48,7.39,6,0,0,Medium Potential
63,76,8.75,20,2,4,High Potential
87,85,9.82,25,3,2,Selected
30,40,6.96,5,0,0,Medium Potential
49,64,9.97,27,2,3,High Potential
10,25,6.29,12,2,1,Rejected
15,13,5.14,7,1,0,Rejected
27,24,4.73,14,1,1,Rejected
45,54,7.62,7,2,3,Medium Potential
47,47,7.93,9,0,0,Medium Potential
52,54,6.67,12,0,2,Medium Potential
76,62,8.78,12,4,1,High Potential
85,86,5.96,18,5,1,Selected
47,32,6.76,13,2,1,Rejected
79,84,8.0,20,4,1,Selected
49,45,6.16,6,1,0,Medium Potential
54,51,5.73,13,2,2,Medium Potential
52,62,6.58,24,5,1,High Potential
51,55,8.11,6,0,4,Medium Potential
84,92,8.05,19,4,4,Selected
29,25,6.39,12,1,0,Rejected
62,50,8.6,5,2,2,Medium Potential
38,32,7.48,14,2,1,Rejected
84,82,7.07,28,5,3,Selected
55,47,5.09,2,2,1,Medium Potential
68,53,9.46,13,1,1,Medium Potential
48,36,6.32,2,0,0,Rejected
100,99,9.57,12,5,1,Selected
79,74,8.02,19,3,3,High Potential
73,79,6.79,29,2,3,High Potential
64,56,7.09,2,1,2,Medium Potential
75,90,6.36,17,4,1,Selected
65,75,6.82,29,2,2,High Potential
64,72,8.43,18,3,3,High Potential
84,75,8.29,15,3,3,High Potential
58,61,6.51,17,5,3,High Potential
23,25,4.89,10,2,0,Rejected
90,87,7.97,13,2,4,Selected
45,37,5.92,8,2,0,Rejected
24,29,4.51,5,2,1,Rejected
31,40,5.64,9,1,0,Medium Potential
49,61,6.89,23,3,3,High Potential
36,24,4.83,10,1,0,Rejected
24,25,7.09,9,0,1,Rejected
46,33,6.46,11,1,0,Rejected
46,60,9.28,20,5,3,High Potential
33,31,7.83,12,0,1,Rejected
96,100,9.2,26,5,3,Selected
13,25,4.99,14,2,0,Rejected
74,88,9.53,16,4,3,Selected
76,70,9.7,12,5,3,High Potential
49,40,6.59,3,2,1,Medium Potential
67,72,6.61,22,3,2,High Potential
65,56,5.91,5,2,3,Medium Potential
100,88,6.66,15,3,1,Selected
74,83,7.46,16,4,3,Selected
100,86,5.59,18,3,3,Selected
48,33,4.69,14,2,1,Rejected
91,85,5.76,19,5,1,Selected
70,80,8.77,16,2,1,Selected
19,19,7.61,2,0,0,Rejected
39,32,6.58,10,0,1,Rejected
60,72,7.6,13,2,2,High Potential
81,68,6.89,22,4,4,High Potential
45,38,6.39,7,0,0,Rejected
87,84,6.27,11,3,2,Selected
31,24,5.18,15,0,0,Rejected
0,10,5.59,6,2,1,Rejected
34,34,4.7,14,2,1,Rejected
10,21,7.25,13,2,1,Rejected
40,55,5.87,15,2,4,Medium Potential
28,20,5.56,4,1,1,Rejected
78,68,8.7,28,3,1,High Potential
14,11,6.14,6,0,1,Rejected
9,24,7.83,15,2,1,Rejected
77,63,5.99,30,2,2,High Potential
80,91,8.71,20,4,1,Selected
75,69,6.88,14,3,3,High Potential
28,19,6.82,2,0,1,Rejected
33,45,5.54,6,2,0,Medium Potential
94,84,7.87,13,5,1,Selected
67,77,8.63,20,2,2,High Potential
26,21,7.1,13,2,1,Rejected
43,56,6.55,9,0,1,Medium Potential
19,34,5.44,10,1,1,Rejected
22,31,6.95,11,0,1,Rejected
19,27,5.26,10,0,1,Rejected
18,29,5.64,14,2,0,Rejected
